X,Y,OBJECTID,Asset_ID,Type,Name,Status,Owner_Comp,Location,Address,Telephone,Date_Of_Co,Compressio,Dispensing,No_Dispens,No_LCV,Area,Business_M,Pin_No,Dealer,Dealer_Pho,Dealer_Ema,CA_NO,Sub_Type,ENABLED,AddressLoc,icon_url
73.820445411892,18.4476924257261,"1",990507DBS0001,DBS,Yuvansh Gas Station,Commissioned,MNGL,Narhe,"Paari Company Road, Dhayari-Narhe Rd, Dhayari Phata, Pune, Maharashtra 411041","9762670202",2019/03/30,"0","0","2","0",PMC,,"411041",Mr. Avinash Dabhade,,yuvanshcng@hotmail.com,,"0","0",CNG-990507DBS0001-Yuvansh Gas Station,./0.png
73.7384222653789,18.6393193212863,"2",990513DBS0002,DBS,E-Way Siddhivinayak,Commissioned,BPCL,Punawale,"S.N.48/49, Mumbai Pune Expressway, Pune","9881162464",2015/07/03,"0","390","2","0",PCMC,,"411033","Shri Navnath/ Ajay Kadam	",,navnathdhawale78@gmail.com,,"0","0",CNG-990513DBS0002-E-Way Siddhivinayak,./0.png
73.8843072008811,18.4844337555385,"3",990507DBS0003,DBS,Ishwar Service Station,Commissioned,BPCL,Lullanagar,"Plot # 83, Bibewadi Kondhwa Road, Lullanagar, Opp. Mount Carmel School, pune -40","9890062038",2008/11/11,"1200","390","2","0",PMC,,"411040","Shri Nitin Shah	",,ishwarsevicestation@yahoo.com,,"0","0",CNG-990507DBS0003-Ishwar Service Station,./0.png
73.8690924844891,18.4957732998074,"4",990507DBS0004,DBS,COCO Mukund Nagar ,Commissioned,MNGL,Mukundnagar,Mukundnagar,"2065303128",2017/04/18,"1200","390","2","0",PMC,,"0",,,,,"0","0",CNG-990507DBS0004-COCO Mukund Nagar ,./0.png
73.8526243001684,18.627463000205,"5",990519DBS0005,DBS,Sarhaan Petroleum,Commissioned,IOCL,Bhosari,"Pune Nasik Road, S.N 198, Bhosari, Hissa No1, Tal. Haveli, Pune-26","9822355505",2014/03/31,"0","390","2","0",PCMC,,"411026",Shri Riyaj Mullani,,sarhaanpetroleum@gmail.com,,"0","0",CNG-990519DBS0005-Sarhaan Petroleum,./0.png
73.7708566871532,18.5113026357306,"6",990503DBS0006,DBS,LMD CNG,Commissioned,MNGL,Bavdhan,"S.N.51, Patil Tanaji Nagar, Nr. Sehgal Autoriders, bavdhan, Mulshi, Pune","8888164344",2017/07/30,"0","585","3","0",PMC,,"411021",Mr. Prasad Dagade,,,,"0","0",CNG-990503DBS0006-LMD CNG,./0.png
73.9546465415497,18.5723936182852,"7",990509DBS0007,DBS,Urja Fuel LLP,Commissioned,MNGL,Wagholi,"Gate No. 1349, Nagar Road, Nr. Old Octroi Post, Wagholi, Tal. Haveli, pune","9822048464",2018/01/19,"0","390","2","0",PMC,,"412207",Mrs. Usha,,urja.fuels@gmail.com,,"0","0",CNG-990509DBS0007-Urja Fuel LLP,./0.png
73.8492809261569,18.6587227915907,"8",990519DBS0008,DBS,Kajale & Sons,Commissioned,IOCL,Moshi,"Adarsha Nagar, Tapkir Nagar, Moshi
Pimpri-Chinchwad, Maharashtra 412105","9822067927",2018/09/07,"0","195","1","0",PCMC,,"412105",Mr. Thanawala,,kajaleandsons.m@gmail.com,,"0","0",CNG-990519DBS0008-Kajale & Sons,./0.png
73.7420227064991,18.6285020452093,"9",990513DBS0009,DBS,Sai Expressway Service Station,Commissioned,HPCL,Tathawade,"SNO 157/2/1A, Tathawade Village, Mumbai Pune Expressway, Tal-Mulshi, Pune","9423065656",2009/01/17,"1200","390","2","0",PCMC,,"0",Shri J N Pandit (GM),,tathawadesaiexpresswayservice@gmail.com,,"0","0",CNG-990513DBS0009-Sai Expressway Service Station,./0.png
73.7473625999895,18.5903413003249,"10",990511DBS0010,DBS,Samarth Service Station,Commissioned,HPCL,Hinjewadi,"29/1,2,3, Plot No. 1, Hinjewadi, pune-27","9011033047",2009/01/18,"1200","390","2","0",PCMC,,"411027","Shri Sanjeev Bahirat	",,samarthservicestation@gmail.com,,"0","0",CNG-990511DBS0010-Samarth Service Station,./0.png
73.7468342289356,18.6031517560543,"11",990511DBS0011,DBS,Vimal CNG,Commissioned,MNGL,Wakad,"S.N. 91/1 & 114/1, Wakad, Tal.Mulshi, Pune-57","9923664194",2017/04/18,"0","585","3","0",PCMC,,"411057",Mr. Mule,,,,"0","0",CNG-990511DBS0011-Vimal CNG,./0.png
